decisions_match_same_trace_profile,actions,accepted_orig,accepted_new,accepted_match,digest_match,successor_digest,time_seconds_orig,time_seconds_new_full_trace,time_seconds_new,speedup_same_trace_profile_x,speedup_x
True,10,10,10,True,True,67d43a6735b5498cc413460a4f65b2c9eb0c347fea34fe2dc59dae0c3ef4bc38,0.03239219999522902,0.007197300001280382,0.0032829000265337527,4.5,9.87
True,50,50,50,True,True,045b6e716b370b5402e9892a0e11f0936a6f18ff5de8386bf7442615fdb12838,0.41448969999328256,0.08293120001326315,0.011128999991342425,5.0,37.24
True,100,100,100,True,True,887f39ac7f9084720dc3d542474e28c635a36a15641ae16bda7bf2841d9db623,1.5122075999970548,0.29624739999417216,0.020404099981533363,5.1,74.11
True,200,200,200,True,True,75569763d9d6740452cdb75f18d05da6e9b5d61a93afb42f0f138d90048ab01c,5.4903174999926705,1.1302616999892052,0.037467699992703274,4.86,146.53
True,400,400,400,True,True,03559af84f4de0b0f340751e6acbc9beb4828b289b37c02b23a929c935d5abc5,21.40966330000083,4.34134549999726,0.0736818999866955,4.93,290.57
True,800,800,800,True,True,1fb5461e3a650665b12e755d51632f478fc3316079055abf4ec76da81b6e84e7,85.43317639999441,17.419912499986822,0.14393280001240782,4.9,593.56
